cate_product_title,cate_pirce,cate_vendor,cate_voucher,cate_new_tag,listing_link,listing_link,Brand,Product type,Profile,Layout size,Layout standard,Layout ergonomics,Hot-swappable,Knob support,Rgb support,Display support,QMK/VIA,Connection,Battery capacity,Mount style,Case material,Keycap material,scraping_date
Keychron V1,$54,Divinikey,None,None,https://keeb-finder.com/keyboards/keychron-v1-qmk-75-keyboard,https://keeb-finder.com/keyboards/keychron-v1-qmk-75-keyboard,Keychron,Keyboard,Normal Profile,75%,"ISO, ANSI, ISO ES",Normal,Yes,Yes,Yes,No,Yes,Wired,No battery,Tray Mount,Plastic,ABS,2024-03-28
Keychron Q8,$134,MK,None,None,https://keeb-finder.com/keyboards/keychron-q8-qmk-alice-keyboard,https://keeb-finder.com/keyboards/keychron-q8-qmk-alice-keyboard,Keychron,Keyboard,Normal Profile,65%,"ISO, ANSI, ISO ES",Alice,Yes,Yes,Yes,No,Yes,Wired,No battery,Gasket Mount,Metal,ABS,2024-03-28
Keychron Q7,$129,MK,None,None,https://keeb-finder.com/keyboards/keychron-q7-qmk-70-keyboard,https://keeb-finder.com/keyboards/keychron-q7-qmk-70-keyboard,Keychron,Keyboard,Normal Profile,70%,"ISO, ANSI",Normal,Yes,Yes,Yes,No,Yes,Wired,No battery,Gasket Mount,Metal,ABS,2024-03-28
Keychron Q5,$144,Meow Key,None,None,https://keeb-finder.com/keyboards/keychron-q5-qmk-96-keyboard,https://keeb-finder.com/keyboards/keychron-q5-qmk-96-keyboard,Keychron,Keyboard,Normal Profile,96%,"ISO, ANSI",Normal,Yes,Yes,Yes,No,Yes,Wired,No battery,Gasket Mount,Metal,ABS,2024-03-28
Keychron Q4,$137,Keychron (DE),None,None,https://keeb-finder.com/keyboards/keychron-q4-qmk-60-keyboard,https://keeb-finder.com/keyboards/keychron-q4-qmk-60-keyboard,Keychron,Keyboard,Normal Profile,60%,"ANSI, ISO",Normal,Yes,No,Yes,No,Yes,Wired,No battery,Gasket Mount,Metal,PBT,2024-03-28
Keychron Q3,$124,Meow Key,None,None,https://keeb-finder.com/keyboards/keychron-q3-qmk-tkl-keyboard,https://keeb-finder.com/keyboards/keychron-q3-qmk-tkl-keyboard,Keychron,Keyboard,Normal Profile,80%,"ISO, ANSI, ISO ES",Normal,Yes,Yes,Yes,No,Yes,Wired,No battery,Gasket Mount,Metal,ABS,2024-03-28
Keychron Q2,$119,Meow Key,None,None,https://keeb-finder.com/keyboards/keychron-q2-qmk-65-keyboard,https://keeb-finder.com/keyboards/keychron-q2-qmk-65-keyboard,Keychron,Keyboard,Normal Profile,65%,"ISO, ANSI",Normal,Yes,Yes,Yes,No,Yes,Wired,No battery,Gasket Mount,Metal,ABS,2024-03-28
Keychron Q1 Version 2,$144,Meow Key,None,None,https://keeb-finder.com/keyboards/keychron-q1,https://keeb-finder.com/keyboards/keychron-q1,Keychron,Keyboard,Normal Profile,75%,ANSI,Normal,Yes,Yes,Yes,No,Yes,Wired,No battery,Gasket Mount,Metal,PBT,2024-03-28
Womier SK71 Aluminum Gasket 7 Colors,$89,XVX|Womier,None,None,https://keeb-finder.com/keyboards/womier-s-k71,https://keeb-finder.com/keyboards/womier-s-k71,Womier,Keyboard,Normal Profile,68%,ANSI,Normal,Yes,No,Yes,No,No,"Bluetooth, 2.4 GHz, Wireless",4600 mAh,Gasket Mount,Plastic,PBT,2024-03-28
XVX M87 Pro TriMode Smart Display Coral Sea/Retro Grey/Shadow,$75,XVX|Womier,None,None,https://keeb-finder.com/keyboards/xvx-m87-pro,https://keeb-finder.com/keyboards/xvx-m87-pro,XVX,Keyboard,Normal Profile,75%,ANSI,Normal,Yes,No,No,No,No,"2.4 GHz, Wireless",3000 mAh,Top Mount,Plastic,Unknown,2024-03-28
XVX SK80 Gasket Mounted Smart Display,$79,XVX|Womier,None,None,https://keeb-finder.com/keyboards/xvx-s-k80,https://keeb-finder.com/keyboards/xvx-s-k80,XVX,Keyboard,Normal Profile,75%,ANSI,Normal,Yes,No,No,No,No,Wired,No battery,Gasket Mount,Plastic,Unknown,2024-03-28
XVX L75 Low Profile,$59,XVX|Womier,None,None,https://keeb-finder.com/keyboards/xvx-l75-keyboard,https://keeb-finder.com/keyboards/xvx-l75-keyboard,XVX,Keyboard,Low Profile,75%,ANSI,Normal,Yes,No,No,No,No,"Bluetooth, 2.4 GHz, Wireless",3000 mAh,Unknown,Plastic,PBT,2024-03-28
XVX M61 Izakaya Themed /,$69,XVX|Womier,None,None,https://keeb-finder.com/keyboards/xvx-m61-kanagawa,https://keeb-finder.com/keyboards/xvx-m61-kanagawa,XVX,Keyboard,Normal Profile,60%,ANSI,Normal,Yes,No,No,No,No,"2.4 GHz, Wireless",1850 mAh,Unknown,Plastic,PBT,2024-03-28
Womier VK66 Gasket Mounted 2 Colors,$39,XVX|Womier,None,None,https://keeb-finder.com/keyboards/womier-v-k66,https://keeb-finder.com/keyboards/womier-v-k66,Womier,Keyboard,Normal Profile,65%,ANSI,Normal,Yes,No,No,No,No,Wired,No battery,Gasket Mount,Plastic,PBT,2024-03-28
